CMDLINE C:\Users\gabeo\anaconda3\python.exe asym_const_D1.py
MEM 2.097656 1748046966.4484
MEM 18.093750 1748046966.5499
MEM 27.636719 1748046966.6603
MEM 35.109375 1748046966.7708
MEM 41.601562 1748046966.8811
MEM 45.511719 1748046966.9909
MEM 50.667969 1748046967.1001
MEM 56.242188 1748046967.2102
MEM 63.160156 1748046967.3187
MEM 66.605469 1748046967.4281
MEM 69.402344 1748046967.5370
MEM 71.902344 1748046967.6469
MEM 72.875000 1748046967.7580
MEM 78.953125 1748046967.8684
MEM 82.050781 1748046967.9777
MEM 88.261719 1748046968.0860
MEM 93.222656 1748046968.1960
MEM 96.921875 1748046968.3049
MEM 104.980469 1748046968.4157
MEM 105.738281 1748046968.5269
MEM 105.808594 1748046968.6378
MEM 107.320312 1748046968.7487
MEM 111.804688 1748046968.8574
MEM 116.058594 1748046968.9664
MEM 120.031250 1748046969.0760
MEM 122.906250 1748046969.1869
MEM 127.539062 1748046969.2950
MEM 127.617188 1748046969.4025
